Civic Center Park,"Auburn Hills, MI",1980,"42.669548,-83.222034"
Flip City Disc Golf Park,"Shelby, MI",1980,"43.621817,-86.248567"
Vienna Park,"Temperance, MI",1980,"41.789883,-83.544267"
Raintree Park,"Troy, MI",1981,"42.573635,-83.112167"
Starr-Jaycee Park,"Royal Oak, MI",1981,"42.518304,-83.158693"
Grand Woods Park,"Lansing, MI",1985,"42.756883,-84.610033"
Madeline Bertrand Park,"Niles, MI",1985,"41.763133,-86.268983"
Rolling Hills - Main,"Ypsilanti, MI",1986,"42.176967,-83.652233"
Wagner Park,"Royal Oak, MI",1987,"42.511932,-83.145264"
Firefighters Park,"Troy, MI",1988,"42.606533,-83.179617"
River Bends,"Utica, MI",1988,"42.650150,-83.054016"
Addison Oaks County Park,"Leonard, MI",1991,"42.804117,-83.164567"
Cold Brook Park,"Climax, MI",1992,"42.256300,-85.345100"
Hudson Mills Metropark - Original,"Dexter, MI",1992,"42.375667,-83.908483"
Johnson Park,"Grand Rapids, MI",1993,"42.929100,-85.763100"
Mason County Park - Beast,"Ludington, MI",1993,"43.900737,-86.438799"
Mason County Park - Beauty,"Ludington, MI",1993,"43.900533,-86.439717"
Mason County Park - Goliath,"Ludington, MI",1993,"43.900861,-86.440601"
Chippewa Banks,"Midland, MI",1996,"43.608333,-84.251350"
Hudson Mills Metropark - Monster,"Dexter, MI",1996,"42.375967,-83.905817"
Camp Hayo-Went-Ha,"Torch Lake, MI",1997,"45.048789,-85.312051"
Lenawee Christian School,"Adrian, MI",1997,"41.906102,-84.082586"
Riverside Park,"Grand Rapids, MI",1997,"43.009017,-85.667750"
Bay Court Park,"Clarkston, MI",1998,"42.707970,-83.426174"
Northwestern Michigan College,"Traverse City, MI",1998,"44.767402,-85.581232"
Oshtemo Township Park,"Kalamazoo, MI",1998,"42.294567,-85.694050"
Cass Benton Hills DGC,"Northville, MI",1999,"42.415450,-83.476600"
Concordia University,"Ann Arbor, MI",1999,"42.272471,-83.679669"
Dr. Lawless Park,"Vandalia, MI",1999,"41.898963,-85.857682"
Freedom Park,"Canton, MI",1999,"42.291100,-83.478567"
McGraft Park,"Muskegon, MI",1999,"43.212016,-86.283083"
Old Airport DGC,"Au Gres, MI",1999,"44.052542,-83.699384"
Pine Lake Rec. Area,"Plainwell, MI",2000,"42.486405,-85.541568"
River Road Sports Complex,"Petoskey, MI",2000,"45.345095,-84.942309"
Baw Beese Lake/Owen Park,"Hillsdale, MI",2001,"41.907623,-84.613693"
Boyne Mountain,"Boyne Falls, MI",2001,"45.166744,-84.930078"
Central Michigan University,"Mt. Pleasant, MI",2001,"43.572950,-84.772600"
Garfield Park,"Grand Rapids, MI",2001,"42.926789,-85.661677"
Hughes Park,"Hudsonville, MI",2001,"42.868730,-85.879977"
Knollwood Park,"Kalamazoo, MI",2001,"42.276578,-85.624936"
Log Lake Park,"Kalkaska, MI",2001,"44.748688,-85.150266"
Meyer Broadway Park - Original,"Three Rivers, MI",2001,"41.933083,-85.674629"
Robert Morris DGC,"Comstock, MI",2001,"42.317833,-85.465698"
Seymour Lake Park,"Oxford, MI",2001,"42.820063,-83.323483"
Willow Metropark,"New Boston, MI",2001,"42.123330,-83.378630"
Avalanche Preserve,"Boyne City, MI",2002,"45.201084,-85.012871"
Jaycee Park,"Kentwood, MI",2002,"42.861216,-85.635366"
Pioneer High School,"Ann Arbor, MI",2002,"42.256912,-83.753414"
Tittabawassee Trails,"Freeland, MI",2002,"43.543983,-84.143383"
Turtle Lake Resort,"Union City, MI",2002,"42.103500,-85.120800"
Goldenrod DGC,"Davison, MI",2003,"43.103247,-83.562140"
Heritage Park DGC,"Adrian, MI",2003,"41.925983,-84.001404"
Kenwood Heritage Park - Beachside,"Cadillac, MI",2003,"44.245652,-85.442428"
